timestamp,kw_energy_consumption,prediction
2012-03-16 13:23:00,77327,77327.0
2012-03-16 13:23:10,79329,79329.0
2012-03-16 13:23:20,73260,73260.0
2012-03-16 13:23:30,64323,64323.0
2012-03-16 13:23:40,64370,64370.0
2012-03-16 13:23:50,22565,22565.0
2012-03-16 13:24:00,33348,33348.0
2012-03-16 13:24:10,38800,38800.0
2012-03-16 13:24:20,35257,35257.0
2012-03-16 13:24:30,29361,29361.0
2012-03-16 13:24:40,32664,32664.0
2012-03-16 13:24:50,30155,30155.0
2012-03-16 13:25:00,26032,26032.0
2012-03-16 13:25:10,28028,28028.0
2012-03-16 13:25:20,34851,34851.0
2012-03-16 13:25:30,41762,41762.0
2012-03-16 13:25:40,31717,31717.0
2012-03-16 13:25:50,35301,35301.0
2012-03-16 13:26:00,39360,39360.0
2012-03-16 13:26:10,41565,41565.0
2012-03-16 13:26:20,40000,40000.0
2012-03-16 13:26:30,42042,42042.0
2012-03-16 13:26:40,34135,34135.0
2012-03-16 13:26:50,25449,25449.0
2012-03-16 13:27:00,20788,20788.0
2012-03-16 13:27:10,21492,21492.0
2012-03-16 13:27:20,18378,18378.0
2012-03-16 13:27:30,22362,22362.0
2012-03-16 13:27:40,21720,21720.0
2012-03-16 13:27:50,25272,25272.0
2012-03-16 13:28:00,20519,20519.0
2012-03-16 13:28:10,22132,22132.0
2012-03-16 13:28:20,21518,21518.0
2012-03-16 13:28:30,52356,52356.0
2012-03-16 13:28:40,124103,124103.0
2012-03-16 13:28:50,35135,35135.0
2012-03-16 13:29:00,22284,22284.0
2012-03-16 13:29:10,23558,23558.0
2012-03-16 13:29:20,24660,24660.0
2012-03-16 13:29:30,28063,28063.0
2012-03-16 13:29:40,26527,26527.0
2012-03-16 13:29:50,27091,27091.0
2012-03-16 13:30:00,22963,22963.0
